transform,strength,curvature
cubic,0.0,0.0
cubic,0.1,0.11082336453123186
cubic,0.25,0.20713594978462252
cubic,0.5,0.300125165451253
cubic,1.0,0.38455993514801184
sinh,0.0,0.0
sinh,0.35,0.03132063404652578
sinh,0.7,0.10335994947041152
sinh,1.0,0.18226130287133466
sinh,1.3,0.26023570053256295
exp,0.0,0.0
exp,0.2,0.06998476538227344
exp,0.4,0.13534847643720826
exp,0.6,0.19111712279851978
exp,0.8,0.23315017575132385
tanh,0.0,0.0
tanh,0.25,0.038219118964383125
tanh,0.5,0.06768452332691623
tanh,1.0,0.1109054839467989
tanh,2.0,0.16434482237651632
