transform,strength,c0,energy0,c1,energy1,c2,energy2,c3,energy3,c4,energy4,c5,energy5,higher_order_energy,weighted_higher_order_energy
cubic,0.0,5.551115123125783e-17,3.0814879110195774e-33,0.9999999999999959,0.9999999999999918,-3.925231146709437e-17,1.5407439555097883e-33,1.812986607347358e-15,3.286920438420883e-30,0.0,0.0,9.425460013956583e-16,8.883929647469442e-31,4.1768541471233366e-30,1.4305807626908388e-29
cubic,0.1,0.0,0.0,0.9827076298239866,0.9657142857142775,0.0,0.0,0.1851640199545121,0.034285714285714954,0.0,0.0,1.1553789694527424e-15,1.334900563053681e-30,0.034285714285714954,0.10285714285714487
cubic,0.25,-2.7755575615628914e-17,7.703719777548943e-34,0.9438798074485347,0.890909090909083,0.0,0.0,0.3302891295379098,0.10909090909091015,0.0,0.0,1.3074025180649453e-15,1.7093013442425597e-30,0.10909090909091015,0.3272727272727305
cubic,0.5,-2.7755575615628914e-17,7.703719777548943e-34,0.8980265101338706,0.8064516129032188,0.0,0.0,0.43994134506406124,0.1935483870967754,0.0,0.0,1.4087515504730807e-15,1.9845809309603087e-30,0.1935483870967754,0.5806451612903263
cubic,1.0,0.0,0.0,0.852802865422438,0.7272727272727209,0.0,0.0,0.5222329678670946,0.2727272727272739,-2.2662332591841976e-17,5.13581318503263e-34,1.4999656796404023e-15,2.249897040099094e-30,0.2727272727272739,0.8181818181818217
sinh,0.0,5.551115123125783e-17,3.0814879110195774e-33,0.9999999999999959,0.9999999999999918,-3.925231146709437e-17,1.5407439555097883e-33,1.812986607347358e-15,3.286920438420883e-30,0.0,0.0,9.425460013956583e-16,8.883929647469442e-31,4.1768541471233366e-30,1.4305807626908388e-29
sinh,0.35,5.551115123125783e-17,3.0814879110195774e-33,0.9987508848868438,0.9975033300622536,0.0,0.0,0.04994794681590674,0.002494797391124648,0.0,0.0,0.0013681658041081169,1.87187766753081e-06,0.0024966692687921786,0.007493751561711597
sinh,0.7,0.0,0.0,0.9803451278954292,0.9610765697883054,0.0,0.0,0.19610986903866678,0.038459080734363035,1.1331166295920988e-17,1.2839532962581576e-34,0.02148723491322382,0.0004617012642160647,0.0389207819985791,0.11768574852416942
sinh,1.0,-2.7755575615628914e-17,7.703719777548943e-34,0.9224522362915675,0.8509181282393138,0.0,0.0,0.3765895485006031,0.1418196880398881,-5.665583147960494e-18,3.209883240645394e-35,0.08420798300633088,0.00709098440199451,0.1489106724418826,0.46091398612963685
sinh,1.3,0.0,0.0,0.803529114572341,0.6456590379654104,7.850462293418875e-17,6.1629758220391534e-33,0.554386564641952,0.3073444630555052,0.0,0.0,0.20950018149548566,0.043890326046641434,0.35123478910214667,1.1414850193997228
exp,0.0,5.551115123125783e-17,3.0814879110195774e-33,0.9999999999999959,0.9999999999999918,-3.925231146709437e-17,1.5407439555097883e-33,1.812986607347358e-15,3.286920438420883e-30,0.0,0.0,9.425460013956583e-16,8.883929647469442e-31,4.1768541471233366e-30,1.4305807626908388e-29
exp,0.2,-1.1102230246251565e-16,1.232595164407831e-32,0.9900168330780568,0.9801333297779049,0.14000952323166577,0.019602666595558357,0.016166907185384414,0.0002613688879408342,0.0016166907185382192,2.6136888794076237e-06,0.00014460121381072613,2.0909511035535335e-08,0.019866670081889633,0.03999999915801202
exp,0.4,-1.3877787807814457e-16,1.9259299443872359e-32,0.9602772639532554,0.9221324236655501,0.2716074260642461,0.0737705938932449,0.0627250482208392,0.003934431674306603,0.012545009644167417,0.0001573772669722535,0.0022441195474209126,5.0360725431166415e-06,0.07786743890706686,0.1599991722400142
exp,0.6,-1.942890293094024e-16,3.774822690998982e-32,0.9114695517410712,0.8307767437510694,0.38670378052870685,0.14953981387519427,0.13395811907093833,0.01794477766502369,0.04018743572128089,0.0016150299898520834,0.010783420573703495,0.0001162821592693718,0.16921590368933942,0.3599554915012148
exp,0.8,-1.1102230246251565e-16,1.232595164407831e-32,0.8449275506704949,0.7139025658820416,0.47796320055236063,0.22844882108225611,0.22076174600131354,0.04873574849754848,0.08830469840052468,0.007797719759607627,0.03159284933699139,0.0009981081292298375,0.28598039746864207,0.6392863073417374
tanh,0.0,5.551115123125783e-17,3.0814879110195774e-33,0.9999999999999959,0.9999999999999918,-3.925231146709437e-17,1.5407439555097883e-33,1.812986607347358e-15,3.286920438420883e-30,0.0,0.0,9.425460013956583e-16,8.883929647469442e-31,4.1768541471233366e-30,1.4305807626908388e-29
tanh,0.25,5.551115123125783e-17,3.0814879110195774e-33,0.9993544195477417,0.9987092558696038,-3.925231146709437e-17,1.5407439555097883e-33,-0.03220817360754755,0.0010373664471339224,0.0,0.0,0.013571676296653932,0.0001841903975011582,0.0012215568446350806,0.0040330513289075585
tanh,0.5,0.0,0.0,0.9979872029135071,0.9959784571791255,3.925231146709437e-17,1.5407439555097883e-33,-0.05685155759015248,0.003232099600426424,2.2662332591841976e-17,5.13581318503263e-34,0.023955749431047474,0.0005738779308031314,0.0038059775312295555,0.012565688455294929
tanh,1.0,0.0,0.0,0.9947254555829494,0.9894787319847064,3.925231146709437e-17,1.5407439555097883e-33,-0.0919559977519817,0.008455905522562463,-2.2662332591841976e-17,5.13581318503263e-34,0.0387478361931449,0.0015013948096507896,0.009957300332213252,0.03287469061594134
tanh,2.0,0.0,0.0,0.9889730730265853,0.9780677391716477,0.0,0.0,-0.1327662595957771,0.017626879687053273,-2.2662332591841976e-17,5.13581318503263e-34,0.055944205974131744,0.003129754182076078,0.020756633869129352,0.06852940997154021
