transform,strength,curvature
cubic,0.1302579,0.13420354742240378
cubic,0.2299656,0.19666815738138996
cubic,0.3532381,0.25282494536186795
cubic,0.5265986,0.3070692994364844
cubic,1.3483315,0.4132022317255255
quintic,0.0098076,0.05816466835647633
quintic,0.0152675,0.07890103360069319
quintic,0.0204604,0.0962656044361813
quintic,0.0258628,0.11255145397766751
quintic,0.038476,0.14476529660025358
exp,0.3189425,0.10973674985141199
exp,0.4551335,0.1518816420081667
exp,0.5627497,0.18166725992533636
exp,0.6563857,0.20449861809578468
exp,0.8218707,0.2367906371341931
quad,0.165928,0.11804623141540987
quad,0.2476384,0.17205263466411708
quad,0.322379,0.21369681947640057
quad,0.3994894,0.24756507453001259
quad,0.5912237,0.30287987801011873
